"","NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi"
"1",20,"false","0.6","0.01",0.005,"new_york",2,2,14.525,6.11843578132977,0.183058
"2",40,"false","0.6","0.01",0.005,"new_york",2,2,25,8.14115968475365,0.132735
"3",80,"false","0.6","0.01",0.005,"new_york",2,2,31.5,7.00942761369986,0.0777353
"4",20,"true","0.6","0.01",0.005,"new_york",2,2,8.875,5.2192321863838,0.453139
"5",40,"true","0.6","0.01",0.005,"new_york",2,2,14.0875,7.04451263238615,0.320904
"6",80,"true","0.6","0.01",0.005,"new_york",2,2,17.39375,9.05823012618182,0.192555
"7",20,"false","20.0","0.01",0.005,"new_york",2,2,14.65,5.83336996325496,0.258453
"8",40,"false","20.0","0.01",0.005,"new_york",2,2,25.1875,8.23406593197746,0.102178
"9",80,"false","20.0","0.01",0.005,"new_york",2,2,32.68125,6.43044241266816,0.112804
"10",20,"true","20.0","0.01",0.005,"new_york",2,2,10.575,4.7603463567158,0.444801
"11",40,"true","20.0","0.01",0.005,"new_york",2,2,17.9625,7.50770701059665,0.336703
"12",80,"true","20.0","0.01",0.005,"new_york",2,2,25.64375,9.30567344022455,0.224914
"13",20,"false","50.0","0.01",0.005,"new_york",2,2,15.3,6.39791632747204,0.148463
"14",40,"false","50.0","0.01",0.005,"new_york",2,2,25.525,7.79804422088552,0.130076
"15",80,"false","50.0","0.01",0.005,"new_york",2,2,32.89375,7.31724668550977,0.113037
"16",20,"true","50.0","0.01",0.005,"new_york",2,2,12.85,5.58638454706551,0.496258
"17",40,"true","50.0","0.01",0.005,"new_york",2,2,20.25,7.22425590754657,0.285686
"18",80,"true","50.0","0.01",0.005,"new_york",2,2,28.53125,9.35661194594059,0.211265
"19",20,"false","100.0","0.01",0.005,"new_york",2,2,15.8,6.44582950043809,0.158222
"20",40,"false","100.0","0.01",0.005,"new_york",2,2,25.2125,6.83382086353869,0.0927066
"21",80,"false","100.0","0.01",0.005,"new_york",2,2,32.9125,6.88667248107787,0.0567794
"22",20,"true","100.0","0.01",0.005,"new_york",2,2,16.05,7.70597503772568,0.324154
"23",40,"true","100.0","0.01",0.005,"new_york",2,2,24.05,9.57964614446507,0.265931
"24",80,"true","100.0","0.01",0.005,"new_york",2,2,33.5125,9.89058856379967,0.149986
"25",20,"false","0.6","1.0",0.005,"new_york",2,2,14.075,5.53491250249328,0.100842
"26",40,"false","0.6","1.0",0.005,"new_york",2,2,23.9625,6.60541348757004,0.118493
"27",80,"false","0.6","1.0",0.005,"new_york",2,2,30.19375,6.15777554686224,0.0526954
"28",20,"true","0.6","1.0",0.005,"new_york",2,2,6,4.4244499743762,0.52665
"29",40,"true","0.6","1.0",0.005,"new_york",2,2,7.32786885245902,5.77269813136344,0.326202
"30",80,"true","0.6","1.0",0.005,"new_york",2,2,5.390625,5.5165470782607,0.325127
"31",20,"false","20.0","1.0",0.005,"new_york",2,2,14.975,6.49847122061245,0.183714
"32",40,"false","20.0","1.0",0.005,"new_york",2,2,24.7375,7.22818630191488,0.0789745
"33",80,"false","20.0","1.0",0.005,"new_york",2,2,32.04375,5.87537968798506,0.0947353
"34",20,"true","20.0","1.0",0.005,"new_york",2,2,9.97435897435897,4.99203143697496,0.490051
"35",40,"true","20.0","1.0",0.005,"new_york",2,2,12.6075949367089,6.65720685542153,0.316223
"36",80,"true","20.0","1.0",0.005,"new_york",2,2,13.484076433121,8.0984369301779,0.194165
"37",20,"false","50.0","1.0",0.005,"new_york",2,2,15.425,6.22191124070245,0.238319
"38",40,"false","50.0","1.0",0.005,"new_york",2,2,25.15,7.5104989805411,0.0980091
"39",80,"false","50.0","1.0",0.005,"new_york",2,2,32.025,6.44273273009571,0.0828518
"40",20,"true","50.0","1.0",0.005,"new_york",2,2,14.65,5.27475847059151,0.397553
"41",40,"true","50.0","1.0",0.005,"new_york",2,2,20.5125,7.33466496348554,0.240351
"42",80,"true","50.0","1.0",0.005,"new_york",2,2,27.4375,8.31660270201388,0.150098
"43",20,"false","100.0","1.0",0.005,"new_york",2,2,15.325,5.35598155911113,0.112903
"44",40,"false","100.0","1.0",0.005,"new_york",2,2,25.0125,7.08447000063332,0.109798
"45",80,"false","100.0","1.0",0.005,"new_york",2,2,32.06875,6.4056989907229,0.0944246
"46",20,"true","100.0","1.0",0.005,"new_york",2,2,14.775,8.48070963407166,0.273417
"47",40,"true","100.0","1.0",0.005,"new_york",2,2,22.4875,9.67574777144944,0.171964
"48",80,"true","100.0","1.0",0.005,"new_york",2,2,31.90625,9.94310663207709,0.124164
"49",20,"false","0.6","0.01",0.01,"new_york",2,2,3.57575757575758,2.56210732394136,0.37157
"50",40,"false","0.6","0.01",0.01,"new_york",2,2,7.63157894736842,2.9926225077153,0.125285
"51",80,"false","0.6","0.01",0.01,"new_york",2,2,12.0506329113924,4.38119529447578,0.100241
"52",20,"true","0.6","0.01",0.01,"new_york",2,2,2.67857142857143,2.40452615534663,0.60074
"53",40,"true","0.6","0.01",0.01,"new_york",2,2,3.40909090909091,2.28019751322132,0.617047
"54",80,"true","0.6","0.01",0.01,"new_york",2,2,4.5546875,2.95852855996988,0.281685
"55",20,"false","20.0","0.01",0.01,"new_york",2,2,3.45714285714286,1.97547994381197,0.337748
"56",40,"false","20.0","0.01",0.01,"new_york",2,2,7.46835443037975,3.95109670928236,0.145542
"57",80,"false","20.0","0.01",0.01,"new_york",2,2,12.3270440251572,4.39576443913668,0.148429
"58",20,"true","20.0","0.01",0.01,"new_york",2,2,3.15384615384615,2.64865713435783,0.464063
"59",40,"true","20.0","0.01",0.01,"new_york",2,2,4.15068493150685,2.76220138092746,0.487258
"60",80,"true","20.0","0.01",0.01,"new_york",2,2,6.35714285714286,3.59680063249494,0.295019
"61",20,"false","50.0","0.01",0.01,"new_york",2,2,3.38235294117647,1.82598592517316,0.211828
"62",40,"false","50.0","0.01",0.01,"new_york",2,2,7.41025641025641,3.25311398244061,0.18867
"63",80,"false","50.0","0.01",0.01,"new_york",2,2,12.0875,4.54659662610432,0.156029
"64",20,"true","50.0","0.01",0.01,"new_york",2,2,3.38888888888889,2.73890257248908,0.529588
"65",40,"true","50.0","0.01",0.01,"new_york",2,2,4.84615384615385,3.03690257051115,0.398423
"66",80,"true","50.0","0.01",0.01,"new_york",2,2,7.56050955414013,4.12518465727765,0.277725
"67",20,"false","100.0","0.01",0.01,"new_york",2,2,3.97058823529412,2.58767819316324,0.224478
"68",40,"false","100.0","0.01",0.01,"new_york",2,2,7.82051282051282,3.47063222558773,0.164094
"69",80,"false","100.0","0.01",0.01,"new_york",2,2,12.14375,4.61041598281448,0.106556
"70",20,"true","100.0","0.01",0.01,"new_york",2,2,4,2.86744175568088,0.513653
"71",40,"true","100.0","0.01",0.01,"new_york",2,2,7.18181818181818,3.66967398784054,0.331777
"72",80,"true","100.0","0.01",0.01,"new_york",2,2,9.79375,4.76108025768583,0.176528
"73",20,"false","0.6","1.0",0.01,"new_york",2,2,3.6,1.7523094005609,0.119886
"74",40,"false","0.6","1.0",0.01,"new_york",2,2,6.8974358974359,2.82194435865946,0.141977
"75",80,"false","0.6","1.0",0.01,"new_york",2,2,11.2025316455696,3.82375993581748,0.0546797
"76",20,"true","0.6","1.0",0.01,"new_york",2,2,2.22222222222222,2.01627366126828,0.670454
"77",40,"true","0.6","1.0",0.01,"new_york",2,2,2.45454545454545,2.27885537456457,0.632971
"78",80,"true","0.6","1.0",0.01,"new_york",2,2,2.44444444444444,1.82574185835055,0.651649
"79",20,"false","20.0","1.0",0.01,"new_york",2,2,3.38888888888889,2.11495056041882,0.186877
"80",40,"false","20.0","1.0",0.01,"new_york",2,2,7.5,3.49675173943944,0.113071
"81",80,"false","20.0","1.0",0.01,"new_york",2,2,12.120253164557,4.0511971886856,0.0966787
"82",20,"true","20.0","1.0",0.01,"new_york",2,2,2.6,2.14315268897852,0.565324
"83",40,"true","20.0","1.0",0.01,"new_york",2,2,3.03174603174603,1.83134230665303,0.573148
"84",80,"true","20.0","1.0",0.01,"new_york",2,2,3.60952380952381,2.37573971514962,0.396846
"85",20,"false","50.0","1.0",0.01,"new_york",2,2,3.88888888888889,2.44689631723569,0.310611
"86",40,"false","50.0","1.0",0.01,"new_york",2,2,7.31645569620253,3.53931872264252,0.134794
"87",80,"false","50.0","1.0",0.01,"new_york",2,2,11.811320754717,4.43542958306618,0.0978163
"88",20,"true","50.0","1.0",0.01,"new_york",2,2,3.48571428571429,2.38094677870489,0.496365
"89",40,"true","50.0","1.0",0.01,"new_york",2,2,5.14473684210526,3.09711240725258,0.294068
"90",80,"true","50.0","1.0",0.01,"new_york",2,2,7.46794871794872,3.74410482310331,0.163276
"91",20,"false","100.0","1.0",0.01,"new_york",2,2,4.05714285714286,2.19548811593843,0.270073
"92",40,"false","100.0","1.0",0.01,"new_york",2,2,7.77922077922078,3.51546723937822,0.16864
"93",80,"false","100.0","1.0",0.01,"new_york",2,2,12.10625,4.49681491053642,0.105134
"94",20,"true","100.0","1.0",0.01,"new_york",2,2,3.64705882352941,2.4356239066442,0.375834
"95",40,"true","100.0","1.0",0.01,"new_york",2,2,6.59459459459459,4.01681028950686,0.237834
"96",80,"true","100.0","1.0",0.01,"new_york",2,2,9.99367088607595,4.86701733881691,0.156777
"97",20,"false","0.6","0.01",0.005,"san_francisco",2,2,23.35,5.62298396920609,0.164222
"98",40,"false","0.6","0.01",0.005,"san_francisco",2,2,31.675,6.10203327806251,0.051856
"99",80,"false","0.6","0.01",0.005,"san_francisco",2,2,38.15,6.75277720645365,0.0705245
"100",20,"true","0.6","0.01",0.005,"san_francisco",2,2,12.925,6.18678285147313,0.320082
"101",40,"true","0.6","0.01",0.005,"san_francisco",2,2,17.675,9.2473396790234,0.141479
"102",80,"true","0.6","0.01",0.005,"san_francisco",2,2,23.78125,10.7864764357677,0.0786273
"103",20,"false","20.0","0.01",0.005,"san_francisco",2,2,24.3,6.20256357257182,0.1166
"104",40,"false","20.0","0.01",0.005,"san_francisco",2,2,31.9125,5.85087627322241,0.0838566
"105",80,"false","20.0","0.01",0.005,"san_francisco",2,2,39.36875,7.32242345266414,0.0647708
