"NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi","Rep"
20,"false",0.6,0.01,0.005,"new_york",2,2,14.775,5.58609767006335,0.115817,1
40,"false",0.6,0.01,0.005,"new_york",2,2,24.6,6.96210356687901,0.111072,1
80,"false",0.6,0.01,0.005,"new_york",2,2,32.16875,6.67787285361563,0.0919718,1
20,"true",0.6,0.01,0.005,"new_york",2,2,8.71794871794872,4.81745028624674,0.459199,1
40,"true",0.6,0.01,0.005,"new_york",2,2,12.126582278481,7.31238340009181,0.306287,1
80,"true",0.6,0.01,0.005,"new_york",2,2,17.7421383647799,9.09876458193325,0.219835,1
20,"false",20,0.01,0.005,"new_york",2,2,14.975,5.93333693459989,0.129416,1
40,"false",20,0.01,0.005,"new_york",2,2,25,7.32258514218558,0.113442,1
80,"false",20,0.01,0.005,"new_york",2,2,33.24375,6.78394968071257,0.112829,1
20,"true",20,0.01,0.005,"new_york",2,2,10.125,5.44994707102033,0.533453,1
40,"true",20,0.01,0.005,"new_york",2,2,17.175,7.50657939258723,0.311382,1
80,"true",20,0.01,0.005,"new_york",2,2,26.2375,8.61948027734691,0.237957,1
20,"false",50,0.01,0.005,"new_york",2,2,15.075,6.47039609614633,0.0935201,1
40,"false",50,0.01,0.005,"new_york",2,2,25.7125,7.71681338771124,0.0938759,1
80,"false",50,0.01,0.005,"new_york",2,2,32.66875,7.10984955479537,0.0983438,1
20,"true",50,0.01,0.005,"new_york",2,2,13.225,5.91168985342405,0.390854,1
40,"true",50,0.01,0.005,"new_york",2,2,20.6375,7.40209301567187,0.321944,1
80,"true",50,0.01,0.005,"new_york",2,2,28.95,9.10580711801212,0.198796,1
20,"false",100,0.01,0.005,"new_york",2,2,15.3,6.26426577030586,0.123668,1
40,"false",100,0.01,0.005,"new_york",2,2,25.5625,8.09100727562256,0.104119,1
80,"false",100,0.01,0.005,"new_york",2,2,33.5875,6.97830195056129,0.091048,1
20,"true",100,0.01,0.005,"new_york",2,2,15.7,6.71087903600545,0.410046,1
40,"true",100,0.01,0.005,"new_york",2,2,23.875,8.7690118953194,0.222469,1
80,"true",100,0.01,0.005,"new_york",2,2,32.575,9.08558191543824,0.139118,1
20,"false",0.6,1,0.005,"new_york",2,2,14.875,6.35362807721618,0.0808384,1
40,"false",0.6,1,0.005,"new_york",2,2,23.7375,6.41742830703619,0.07552,1
80,"false",0.6,1,0.005,"new_york",2,2,30.80625,6.47928180952917,0.0799012,1
20,"true",0.6,1,0.005,"new_york",2,2,6.61764705882353,4.17797040680551,0.396072,1
40,"true",0.6,1,0.005,"new_york",2,2,6.73684210526316,5.12530945333852,0.287433,1
80,"true",0.6,1,0.005,"new_york",2,2,5.515625,5.40132901781868,0.286557,1
20,"false",20,1,0.005,"new_york",2,2,14.875,5.31175522682885,0.1637,1
40,"false",20,1,0.005,"new_york",2,2,24.5,6.66561173087928,0.104745,1
80,"false",20,1,0.005,"new_york",2,2,31.6625,5.92392813328301,0.0670311,1
20,"true",20,1,0.005,"new_york",2,2,9.25,5.45729340259907,0.469522,1
40,"true",20,1,0.005,"new_york",2,2,12.4875,6.62941994904226,0.288845,1
80,"true",20,1,0.005,"new_york",2,2,13.2658227848101,8.69835457133414,0.186399,1
20,"false",50,1,0.005,"new_york",2,2,15.8,6.56017510710632,0.152345,1
40,"false",50,1,0.005,"new_york",2,2,24.925,7.4930769735567,0.0696687,1
80,"false",50,1,0.005,"new_york",2,2,31.7875,6.28504013986772,0.0596593,1
20,"true",50,1,0.005,"new_york",2,2,13.975,5.76233348388369,0.384119,1
40,"true",50,1,0.005,"new_york",2,2,19.875,7.42962765477568,0.316429,1
80,"true",50,1,0.005,"new_york",2,2,28.19375,8.77209474563602,0.166483,1
20,"false",100,1,0.005,"new_york",2,2,15.125,6.56012624956688,0.161789,1
40,"false",100,1,0.005,"new_york",2,2,25.2625,7.47272466534467,0.0900928,1
80,"false",100,1,0.005,"new_york",2,2,32.54375,6.21607459200204,0.0720409,1
20,"true",100,1,0.005,"new_york",2,2,15.95,6.97964072251463,0.277847,1
40,"true",100,1,0.005,"new_york",2,2,24.0375,8.93073735031174,0.161514,1
80,"true",100,1,0.005,"new_york",2,2,31.6,9.81283974695251,0.0863264,1
20,"false",0.6,0.01,0.01,"new_york",2,2,3.65714285714286,2.3507552871722,0.31054,1
40,"false",0.6,0.01,0.01,"new_york",2,2,7.30769230769231,3.11805672210717,0.139098,1
80,"false",0.6,0.01,0.01,"new_york",2,2,11.9367088607595,4.26761399693083,0.0988028,1
20,"true",0.6,0.01,0.01,"new_york",2,2,2.68965517241379,2.56492060968564,0.691886,1
40,"true",0.6,0.01,0.01,"new_york",2,2,3.24193548387097,2.31662193205911,0.431794,1
80,"true",0.6,0.01,0.01,"new_york",2,2,5.064,3.24967492170743,0.32434,1
